GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bagit,nl.knaw.dans.bagit.verify,AbstractPayloadFileExistsInManifestsVistor,0,36,1,5,0,9,1,5,0,3
bagit,nl.knaw.dans.bagit.verify,PayloadFileExistsInAtLeastOneManifestVistor,0,55,1,7,0,11,1,6,0,3
bagit,nl.knaw.dans.bagit.verify,BagVerifier,13,198,0,10,4,47,3,15,3,10
bagit,nl.knaw.dans.bagit.verify,FileCountAndTotalSizeVistor,0,58,0,2,0,14,0,7,0,6
bagit,nl.knaw.dans.bagit.verify,CheckManifestHashesTask,0,92,1,3,0,22,1,5,0,4
bagit,nl.knaw.dans.bagit.verify,ManifestVerifier,0,226,2,14,0,52,2,17,0,11
bagit,nl.knaw.dans.bagit.verify,CheckIfFileExistsTask,0,114,2,10,0,28,2,8,0,4
bagit,nl.knaw.dans.bagit.verify,QuickVerifier,0,183,3,15,0,29,3,10,0,4
bagit,nl.knaw.dans.bagit.verify,MandatoryVerifier,1,151,1,15,1,32,1,12,0,5
bagit,nl.knaw.dans.bagit.verify,PayloadFileExistsInAllManifestsVistor,0,54,1,5,0,11,1,4,0,2
bagit,nl.knaw.dans.bagit.util,PathUtils,8,115,3,11,1,25,3,13,0,9
bagit,nl.knaw.dans.bagit.exceptions,PayloadOxumDoesNotExistException,0,4,0,0,0,2,0,1,0,1
bagit,nl.knaw.dans.bagit.exceptions,MissingBagitFileException,0,4,0,0,0,2,0,1,0,1
bagit,nl.knaw.dans.bagit.exceptions,InvalidBagitFileFormatException,0,9,0,0,0,4,0,2,0,2
bagit,nl.knaw.dans.bagit.exceptions,UnsupportedAlgorithmException,0,8,0,0,0,2,0,1,0,1
bagit,nl.knaw.dans.bagit.exceptions,UnparsableVersionException,0,7,0,0,0,2,0,1,0,1
bagit,nl.knaw.dans.bagit.exceptions,InvalidBagMetadataException,0,4,0,0,0,2,0,1,0,1
bagit,nl.knaw.dans.bagit.exceptions,MissingPayloadDirectoryException,0,7,0,0,0,2,0,1,0,1
bagit,nl.knaw.dans.bagit.exceptions,MissingPayloadManifestException,0,4,0,0,0,2,0,1,0,1
bagit,nl.knaw.dans.bagit.exceptions,FileNotInManifestException,0,4,0,0,0,2,0,1,0,1
bagit,nl.knaw.dans.bagit.exceptions,InvalidPayloadOxumException,0,4,0,0,0,2,0,1,0,1
bagit,nl.knaw.dans.bagit.exceptions,MaliciousPathException,0,4,0,0,0,2,0,1,0,1
bagit,nl.knaw.dans.bagit.exceptions,VerificationException,0,4,0,0,0,2,0,1,0,1
bagit,nl.knaw.dans.bagit.exceptions,CorruptChecksumException,0,24,0,0,0,2,0,1,0,1
bagit,nl.knaw.dans.bagit.exceptions,FileNotInPayloadDirectoryException,0,4,0,0,0,2,0,1,0,1
bagit,nl.knaw.dans.bagit.writer,BagitFileWriter,0,61,0,0,0,12,0,2,0,2
bagit,nl.knaw.dans.bagit.writer,MetadataWriter,0,91,0,4,0,16,0,4,0,2
bagit,nl.knaw.dans.bagit.writer,FetchWriter,0,100,0,6,0,18,0,6,0,3
bagit,nl.knaw.dans.bagit.writer,PayloadWriter,0,175,2,12,0,35,2,9,0,4
bagit,nl.knaw.dans.bagit.writer,BagWriter,0,242,2,16,0,48,2,11,0,4
bagit,nl.knaw.dans.bagit.writer,ManifestWriter,0,113,0,4,0,21,0,6,0,4
bagit,nl.knaw.dans.bagit.writer,RelativePathWriter,0,14,0,0,0,2,0,1,0,1
bagit,nl.knaw.dans.bagit.hash,Hasher,0,172,0,10,0,33,0,12,0,7
bagit,nl.knaw.dans.bagit.hash,StandardSupportedAlgorithms,0,74,0,0,0,11,0,4,0,4
bagit,nl.knaw.dans.bagit.hash,StandardBagitAlgorithmNameToSupportedAlgorithmMapping,0,22,0,0,0,5,0,3,0,3
bagit,nl.knaw.dans.bagit.exceptions.conformance,RequiredManifestNotPresentException,0,4,0,0,0,2,0,1,0,1
bagit,nl.knaw.dans.bagit.exceptions.conformance,BagitVersionIsNotAcceptableException,0,8,0,0,0,2,0,1,0,1
bagit,nl.knaw.dans.bagit.exceptions.conformance,MetatdataValueIsNotRepeatableException,0,7,0,0,0,2,0,1,0,1
bagit,nl.knaw.dans.bagit.exceptions.conformance,RequiredTagFileNotPresentException,0,7,0,0,0,2,0,1,0,1
bagit,nl.knaw.dans.bagit.exceptions.conformance,RequiredMetadataFieldNotPresentException,0,7,0,0,0,2,0,1,0,1
bagit,nl.knaw.dans.bagit.exceptions.conformance,FetchFileNotAllowedException,0,7,0,0,0,2,0,1,0,1
bagit,nl.knaw.dans.bagit.exceptions.conformance,MetatdataValueIsNotAcceptableException,0,20,0,0,0,2,0,1,0,1
bagit,nl.knaw.dans.bagit.conformance,BagLinter,0,160,2,10,0,35,2,9,0,5
bagit,nl.knaw.dans.bagit.conformance,MetadataChecker,0,53,0,8,0,15,0,7,0,3
bagit,nl.knaw.dans.bagit.conformance,EncodingChecker,0,26,0,4,0,6,0,4,0,2
bagit,nl.knaw.dans.bagit.conformance,ManifestChecker,20,507,10,72,3,117,9,48,0,16
bagit,nl.knaw.dans.bagit.conformance,VersionChecker,0,29,0,4,0,7,0,4,0,2
bagit,nl.knaw.dans.bagit.conformance,BagitWarning,5,169,0,0,1,19,1,2,1,2
bagit,nl.knaw.dans.bagit.conformance,BagProfileChecker,0,345,2,34,0,64,2,26,0,10
bagit,nl.knaw.dans.bagit.reader,KeyValueReader,0,139,1,7,0,25,1,7,0,4
bagit,nl.knaw.dans.bagit.reader,FetchReader,0,127,1,7,0,22,1,5,0,2
bagit,nl.knaw.dans.bagit.reader,MetadataReader,0,58,0,4,0,13,0,4,0,2
bagit,nl.knaw.dans.bagit.reader,BagReader,3,82,0,4,1,21,1,5,1,3
bagit,nl.knaw.dans.bagit.reader,BagitTextFileReader,7,250,4,24,1,47,4,15,0,5
bagit,nl.knaw.dans.bagit.reader,ManifestReader,0,169,1,7,0,34,1,8,0,5
bagit,nl.knaw.dans.bagit.reader,TagFileReader,0,107,0,10,0,24,0,7,0,2
bagit,nl.knaw.dans.bagit.reader,ManifestReader.new DirectoryStream.Filter() {...},2,23,2,6,0,4,2,4,0,2
bagit,nl.knaw.dans.bagit.domain,FetchItem,0,137,3,15,0,27,3,14,0,8
bagit,nl.knaw.dans.bagit.domain,Manifest,0,73,1,9,0,18,1,11,0,7
bagit,nl.knaw.dans.bagit.domain,Bag,9,357,6,16,4,66,8,23,2,18
bagit,nl.knaw.dans.bagit.domain,Metadata,8,214,0,22,4,45,2,25,2,14
bagit,nl.knaw.dans.bagit.domain,Version,8,141,3,25,2,25,5,21,2,10
bagit,nl.knaw.dans.bagit.creator,CreateTagManifestsVistor,0,10,0,0,0,3,0,2,0,2
bagit,nl.knaw.dans.bagit.creator,AbstractCreateManifestsVistor,0,74,0,14,0,17,0,11,0,4
bagit,nl.knaw.dans.bagit.creator,CreatePayloadManifestsVistor,0,10,0,0,0,3,0,2,0,2
bagit,nl.knaw.dans.bagit.creator,BagCreator,14,286,0,10,2,60,2,17,2,12
bagit,nl.knaw.dans.bagit.conformance.profile,BagitProfile,2,376,1,31,1,78,1,49,0,34
bagit,nl.knaw.dans.bagit.conformance.profile,Serialization,0,34,0,0,0,4,0,1,0,1
bagit,nl.knaw.dans.bagit.conformance.profile,BagitProfileDeserializer,0,486,1,29,0,115,1,27,0,13
bagit,nl.knaw.dans.bagit.conformance.profile,BagInfoRequirement,0,132,1,7,0,30,1,15,0,12
